id_osm,intersec,radar_proximo
14049021,2,FALSE
14049049,3,FALSE
14049704,6,FALSE
14053545,5,FALSE
14053619,1,FALSE
14053851,2,FALSE
14053920,4,FALSE
14053980,4,FALSE
14182449,9,FALSE
14182486,5,FALSE
14182669,4,FALSE
14182744,NA,FALSE
14183076,5,FALSE
14183551,4,FALSE
14183770,10,FALSE
14184050,5,TRUE
14184478,NA,FALSE
14184834,NA,FALSE
14184878,NA,FALSE
14184891,NA,FALSE
14185059,1,TRUE
14185184,NA,FALSE
14185836,NA,FALSE
14186010,1,FALSE
14186141,1,FALSE
14186168,NA,FALSE
14186254,NA,FALSE
14187361,13,FALSE
14187423,9,FALSE
14187613,6,FALSE
14187750,NA,FALSE
14187946,NA,FALSE
14188108,2,FALSE
14329792,13,FALSE
14330293,4,FALSE
14330347,3,FALSE
14330370,4,FALSE
14330377,1,FALSE
14330392,4,FALSE
14330410,3,FALSE
14330567,NA,FALSE
14330617,3,FALSE
14330834,7,FALSE
14331033,NA,FALSE
14331050,7,FALSE
14406394,4,FALSE
14406459,2,FALSE
14406786,1,FALSE
14406970,4,FALSE
14407575,2,FALSE
14408299,1,FALSE
14408823,2,FALSE
14408845,NA,FALSE
14409243,NA,FALSE
14409517,NA,FALSE
14517187,1,TRUE
14518474,NA,FALSE
14518506,NA,FALSE
14518608,NA,FALSE
14518869,3,FALSE
14518877,3,FALSE
14518972,3,FALSE
14519097,5,FALSE
14519176,NA,FALSE
14519184,1,FALSE
14519798,NA,FALSE
14519876,6,FALSE
14519923,2,FALSE
14519950,2,FALSE
14519958,4,FALSE
14520294,2,TRUE
14520394,3,FALSE
14520818,7,FALSE
14520855,5,FALSE
14520867,3,FALSE
14520955,5,FALSE
14520983,5,FALSE
14521385,2,FALSE
14521675,7,FALSE
14522672,3,FALSE
14522696,1,FALSE
14522782,6,FALSE
14522813,2,FALSE
14522887,2,FALSE
14522953,3,FALSE
14523067,2,FALSE
14523164,NA,FALSE
14523249,NA,FALSE
14523274,NA,FALSE
14523311,1,FALSE
14523337,3,FALSE
14523349,4,FALSE
14523436,2,FALSE
14523865,4,FALSE
14523947,2,FALSE
14524021,3,TRUE
14524166,4,FALSE
14524368,5,FALSE
14524513,8,FALSE
14524517,NA,FALSE
14524840,NA,FALSE
14524869,4,FALSE
14524909,10,FALSE
14525167,3,FALSE
14525208,6,FALSE
14525302,NA,FALSE
14525474,NA,FALSE
14525957,NA,FALSE
14526409,NA,FALSE
14527387,NA,FALSE
14527535,5,FALSE
14527578,NA,FALSE
14711428,NA,FALSE
14712984,3,FALSE
14713922,1,FALSE
14714126,NA,FALSE
14714241,1,FALSE
14714427,3,TRUE
14714639,2,FALSE
14714692,4,FALSE
14715051,4,TRUE
14715201,4,FALSE
14715380,5,FALSE
15057031,NA,FALSE
15057112,8,FALSE
15057253,8,FALSE
15057325,2,FALSE
15057353,NA,FALSE
15057427,NA,FALSE
15057479,NA,FALSE
15057506,NA,FALSE
15057567,2,FALSE
15057599,NA,FALSE
15057658,NA,FALSE
15057788,4,FALSE
15057962,2,FALSE
15058007,NA,FALSE
15058087,4,FALSE
15058137,1,FALSE
15058192,1,FALSE
15058230,1,FALSE
15062858,NA,FALSE
15062982,2,FALSE
15063272,2,FALSE
15066988,2,FALSE
15067001,4,FALSE
15067068,2,FALSE
15067162,NA,FALSE
15067223,NA,FALSE
15067247,4,FALSE
15067301,8,FALSE
15067558,3,FALSE
15067609,NA,FALSE
15067636,6,FALSE
15067660,3,FALSE
15068965,2,FALSE
15069065,2,FALSE
15069427,3,TRUE
15069448,2,FALSE
15078594,NA,FALSE
15260124,3,FALSE
15260142,NA,FALSE
15260149,3,FALSE
15260247,5,FALSE
15260284,4,FALSE
15260356,1,FALSE
15260361,3,FALSE
15260367,3,FALSE
15260400,5,FALSE
15260500,4,FALSE
15260600,NA,FALSE
15260639,NA,FALSE
15260922,5,FALSE
15261097,NA,FALSE
15261120,NA,FALSE
15261370,NA,FALSE
15261396,NA,FALSE
15261413,NA,FALSE
15261511,NA,FALSE
15261879,NA,FALSE
15262003,6,FALSE
15262043,1,TRUE
15262099,2,FALSE
