logradouro,faixas,limite_velocidade,mao_unica,superficie,tipo_via,tamanho
ALAMEDA DOS CAJUEIROS,NA,NA,NA,NA,residential,89.40778629454654
ALAMEDA DOS CALAFATES,NA,NA,NA,NA,residential,536.3757835888251
ALAMEDA DOS CAMAIURAS,NA,NA,yes,asphalt,residential,190.43932093010778
ALAMEDA DOS CANARIOS,NA,NA,NA,NA,residential,688.3913121998764
ALAMEDA DOS CAQUIS,NA,NA,NA,NA,residential,137.66005345891764
ALAMEDA DOS CARDEAIS,NA,NA,NA,NA,residential,1296.9255997676412
ALAMEDA DOS CEDROS,NA,NA,NA,asphalt,residential,492.1247562535289
ALAMEDA DOS CIPRESTES,NA,NA,NA,NA,residential,160.63456613596236
ALAMEDA DOS COLIBRIS,NA,NA,no,NA,residential,1401.5520824506502
ALAMEDA DOS CONTADORES,NA,NA,yes,asphalt,residential,516.1828931854025
ALAMEDA DOS COQUEIROS,NA,NA,NA,NA,residential,783.9328588973642
ALAMEDA DOS CRAVOS,NA,NA,NA,NA,residential,75.43367347067368
ALAMEDA DOS CRISANTEMOS,NA,NA,no,NA,residential,337.24311735643687
ALAMEDA DOS CRISTAIS,NA,NA,NA,NA,residential,575.86577244593
ALAMEDA DOS CURIOS,NA,NA,NA,NA,residential,622.5271742767001
ALAMEDA DOS CURRUIRAS,NA,NA,NA,NA,residential,673.4832800610924
ALAMEDA DOS ENCONTROS,NA,NA,NA,asphalt,residential,139.66093838125792
ALAMEDA DOS EUCALIPTOS,NA,NA,yes,NA,residential,2394.2691419252033
ALAMEDA DOS FLAMINGOS,NA,NA,NA,NA,residential,681.3562772172919
ALAMEDA DOS GRAVIUNAS,NA,NA,NA,NA,residential,289.0307734945142
ALAMEDA DOS GUAICANAS,2,NA,yes,asphalt,residential,1418.737996460399
ALAMEDA DOS GUAINUMBIS,2,30,yes,asphalt,residential,1730.1926696501248
ALAMEDA DOS GUAIOS,2,30,no,asphalt,residential,893.3082308802816
ALAMEDA DOS GUARAMOMIS,1,30,yes,asphalt,residential,1482.0528144297161
ALAMEDA DOS GUATAS,2,40,yes,asphalt,tertiary,1773.771273885024
ALAMEDA DOS INDIGENAS,2,40,NA,asphalt,residential,349.6841191761124
ALAMEDA DOS IPES,2,40,yes,asphalt,residential,2243.594780750702
ALAMEDA DOS IPES AMARELO,NA,NA,NA,unpaved,unclassified,729.1097498864181
ALAMEDA DOS JACARANDAS,2,40,yes,asphalt,residential,587.3472449149169
ALAMEDA DOS JAMBOS,NA,NA,NA,NA,residential,68.76002935732363
ALAMEDA DOS JATOBAS,NA,NA,NA,NA,residential,86.7739130911542
ALAMEDA DOS JAUNAS,NA,NA,NA,NA,residential,141.00504742427208
ALAMEDA DOS JEQUITIBAS,NA,NA,NA,NA,residential,1625.9611821536266
ALAMEDA DOS JURITIS,NA,NA,no,paved,residential,1190.191861319909
ALAMEDA DOS JURUPIS,NA,40,yes,asphalt,residential,2629.733680262954
ALAMEDA DOS LIMOEIROS,NA,NA,NA,NA,residential,64.6084879439759
ALAMEDA DOS LIRIOS,NA,NA,yes,paved,residential,1269.003261250964
ALAMEDA DOS MACUCOS,NA,NA,NA,NA,residential,73.41601600005116
ALAMEDA DOS MAINAS,NA,NA,NA,NA,residential,429.3229324367251
ALAMEDA DOS MAMONS,NA,NA,NA,NA,residential,472.1670744054518
ALAMEDA DOS MANACAS,NA,40,NA,asphalt,residential,101.41568149941894
ALAMEDA DOS MANDARINS,NA,NA,NA,NA,residential,903.8458919714549
ALAMEDA DOS MARACATINS,3.29,40,yes,asphalt,secondary,1865.3913223132788
ALAMEDA DOS MARFINS,NA,NA,NA,NA,residential,94.40682662813386
